Time,EC Value
2024-07-13 20:52:43,0.0
2024-07-13 20:52:46,0.0
2024-07-13 20:52:50,0.0
2024-07-13 20:52:53,0.0
2024-07-13 20:52:57,0.0
2024-07-13 20:53:00,0.0
2024-07-13 20:53:04,0.0
2024-07-13 20:53:07,0.0
2024-07-13 20:53:11,0.0
2024-07-13 20:53:14,0.0
2024-07-13 20:53:18,0.0
2024-07-13 20:53:21,0.0
2024-07-13 20:53:25,0.0
2024-07-13 20:53:28,0.0
2024-07-13 20:53:32,0.0
2024-07-13 20:53:35,0.0
2024-07-13 20:53:39,0.0
2024-07-13 20:53:42,0.0
2024-07-13 20:53:46,0.0
2024-07-13 20:53:49,0.0
2024-07-13 20:53:53,0.0
2024-07-13 20:53:56,0.0
2024-07-13 20:54:00,0.0
2024-07-13 20:54:04,0.0
2024-07-13 20:54:07,0.0
2024-07-13 20:54:10,0.0
2024-07-13 20:54:14,0.0
2024-07-13 20:54:17,0.0
2024-07-13 20:54:21,0.0
2024-07-13 20:54:24,0.0
2024-07-13 20:54:28,0.0
2024-07-13 20:54:31,0.0
2024-07-13 20:54:35,0.0
2024-07-13 20:54:38,0.0
2024-07-13 20:54:42,0.0
2024-07-13 20:54:45,0.0
2024-07-13 20:54:49,0.0
2024-07-13 20:54:52,0.0
2024-07-13 20:54:56,0.0
2024-07-13 20:54:59,0.0
2024-07-13 20:55:03,0.0
2024-07-13 20:55:06,0.0
2024-07-13 20:55:10,0.0
2024-07-13 20:55:13,0.0
2024-07-13 20:55:17,0.0
2024-07-13 20:55:20,0.0
2024-07-13 20:55:24,0.0
2024-07-13 20:55:27,0.0
2024-07-13 20:55:31,0.0
2024-07-13 20:55:34,0.0
2024-07-13 20:55:38,0.0
2024-07-13 20:55:41,0.0
2024-07-13 20:55:45,0.0
2024-07-13 20:55:48,0.0
2024-07-13 20:55:52,0.0
2024-07-13 20:55:55,0.0
2024-07-13 20:55:59,0.0
2024-07-13 20:56:02,0.0
2024-07-13 20:56:06,0.0
2024-07-13 20:56:09,0.0
2024-07-13 20:56:13,0.0
2024-07-13 20:56:16,0.0
2024-07-13 20:56:20,0.0
2024-07-13 20:56:23,0.0
2024-07-13 20:56:27,0.0
2024-07-13 20:56:30,0.0
2024-07-13 20:56:34,0.0
2024-07-13 20:56:37,0.0
2024-07-13 20:56:42,0.0
2024-07-13 20:56:46,0.0
2024-07-13 20:56:49,0.0
2024-07-13 20:56:53,0.0
2024-07-13 20:56:56,0.0
2024-07-13 20:56:59,0.0
2024-07-13 20:57:03,0.0
2024-07-13 20:57:08,0.0
2024-07-13 20:57:11,0.0
2024-07-13 20:57:45,0.0
